CIFNumber,Customer Name,Customer-since,DateofBirth,Gender,City,Existingloans-to-income-ratio,Creditscore,Monthly-Income,Profession,Loan-productname,Date-loan-given,Loan-Tenor-in-months,NO of Months From Loan Date, LoanAmount , InterestRate , EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,Numberofcallsmade,Response, Lessthan30daysoutstandingprincipalplusinterest , 30ormorebutlessthan60daysoutstandingprincipalplusinterest , 60ormorebutlessthan90daysoutstandingprincipalplusinterest , 90ormorebutlessthan 180daysoutstandingprincipalplusinterest , 180daysormoreoutstandingprincipalplusinterest ,Interestaccrualstopdate,FB Field 1,FB Field 2,FB Field 3,Twitter Field 1,Twitter Field 2,LInkedIn 1,LinkedIn2
33001317,Guffud Trivedi,7/8/2015,8/17/1982,Male,Bangalore,15,754,upto 15000,Private Sector Employee,Personal Loan,10/24/2013,18,24," 110,778.00 ", 12.50 ," (6,781.23)", 24.00 , 8.00 , 16.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001332,Brahmaputra Chakpram,3/5/2001,2/24/1983,Female,Bangalore,0,900,15k to 25k,Small Bussiness Owner,Auto Loan,8/8/2013,18,26," 392,354.00 ", 10.50 ," (23,654.06)", 26.00 , 25.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001332,Brahmaputra Chakpram,3/5/2001,2/24/1983,Female,Bangalore,17,843,15k to 25k,Small Bussiness Owner,Personal Loan,1/18/2015,36,9," 187,651.00 ", 12.50 ," (6,277.61)", 6.00 , 3.00 , 3.00 , 3.00 ," 15,637.58 "," (34,470.40)",0,N/A, -   , -   ," (18,832.82)", -   , -   ,,,,,,,,
33001347,Takshaka Mehta,5/11/2009,4/16/1964,Male,Bangalore,5,744,60k to 100k,Private Sector Employee,Auto Loan,2/16/2015,30,8," 268,838.00 ", 10.50 ," (10,227.76)", 6.00 , -   , 6.00 , 2.00 ," 17,922.53 "," (38,378.05)",0,N/A, -   ," (20,455.51)", -   , -   , -   ,,,,,,,,
33001347,Takshaka Mehta,5/11/2009,4/16/1964,Male,Bangalore,16,863,60k to 100k,Private Sector Employee,Personal Loan,6/4/2013,36,28," 88,948.00 ", 12.50 ," (2,975.63)", 28.00 , 14.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001362,Vishnu Issac,11/18/2006,5/15/1960,Male,Bangalore,0,900,25k to 40k,Private Sector Employee,Home Loan,7/7/2015,18,3," 659,986.00 ", 11.50 ," (40,094.18)", -   , -   , -   , 3.00 ," 109,997.67 "," (230,280.19)",0,N/A, -   , -   ," (120,282.53)", -   , -   ,,,,,,,,
33001362,Vishnu Issac,11/18/2006,5/15/1960,Male,Bangalore,17,678,25k to 40k,Private Sector Employee,Personal Loan,6/30/2013,18,28," 61,861.00 ", 12.50 ," (3,786.79)", 26.00 , 3.00 , 23.00 , 2.00 ," 6,873.44 "," (14,447.03)",0,N/A, -   ," (7,573.59)", -   , -   , -   ,,,,,,,,
33001377,Latif Samuel,4/10/2006,4/30/1961,Male,Bangalore,10,856,100k to 200k,Bussiness Owner,Auto Loan,1/2/2013,24,33," 342,429.00 ", 10.50 ," (15,880.50)", 32.00 , 30.00 , 2.00 , 1.00 ," 14,267.88 "," (30,148.38)",0,N/A," (15,880.50)", -   , -   , -   , -   ,,,,,,,,
33001377,Latif Samuel,4/10/2006,4/30/1961,Male,Bangalore,18,649,100k to 200k,Bussiness Owner,Personal Loan,3/4/2013,36,31," 162,916.00 ", 12.50 ," (5,450.13)", 29.00 , 7.00 , 22.00 , 2.00 ," 9,050.89 "," (19,951.15)",0,N/A, -   ," (10,900.26)", -   , -   , -   ,,,,,,,,
33001392,Vinay Gire,8/2/2011,4/7/1995,Female,Bangalore,3,623,40k to 60k,Public Sector Employee,Auto Loan,5/6/2015,24,5," 371,429.00 ", 10.50 ," (17,225.41)", 3.00 , 3.00 , -   , 2.00 ," 30,952.42 "," (65,403.23)",0,N/A, -   ," (34,450.81)", -   , -   , -   ,,,,,,,,
33001392,Vinay Gire,8/2/2011,4/7/1995,Female,Bangalore,14,623,40k to 60k,Public Sector Employee,Personal Loan,11/5/2013,24,23," 180,760.00 ", 12.50 ," (8,551.27)", 23.00 , 9.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001407,Sunreet Trivedi,9/26/2004,6/20/1958,Male,Bangalore,9,744,15k to 25k,Small Bussiness Owner,Home Loan,9/23/2013,18,25," 543,181.00 ", 11.50 ," (32,998.27)", 23.00 , 11.00 , 12.00 , 2.00 ," 60,353.44 "," (126,349.98)",0,N/A, -   ," (65,996.53)", -   , -   , -   ,,,,,,,,
33001407,Sunreet Trivedi,9/26/2004,6/20/1958,Male,Bangalore,15,748,15k to 25k,Small Bussiness Owner,Personal Loan,4/19/2014,24,18," 172,578.00 ", 12.50 ," (8,164.20)", 15.00 , 5.00 , 10.00 , 3.00 ," 21,572.25 "," (46,064.85)",0,N/A, -   , -   ," (24,492.60)", -   , -   ,,,,,,,,
33001422,Ekram Rampersaud,8/19/2011,4/28/1988,Male,Bangalore,20,504,40k to 60k,Public Sector Employee,Auto Loan,5/30/2014,30,17," 383,293.00 ", 10.50 ," (14,582.12)", 17.00 , 4.00 , 13.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001422,Ekram Rampersaud,8/19/2011,4/28/1988,Male,Bangalore,17,594,40k to 60k,Public Sector Employee,Personal Loan,7/30/2014,36,15," 171,251.00 ", 12.50 ," (5,728.97)", 12.00 , 10.00 , 2.00 , 3.00 ," 14,270.92 "," (31,457.82)",0,N/A, -   , -   ," (17,186.90)", -   , -   ,,,,,,,,
33001437,Kalki Contractor,9/15/2012,11/26/1974,Male,Bangalore,12,815,100k to 200k,Bussiness Owner,Auto Loan,8/19/2013,18,26," 403,670.00 ", 10.50 ," (24,336.28)", 25.00 , 24.00 , 1.00 , 1.00 ," 22,426.11 "," (46,762.39)",0,N/A," (24,336.28)", -   , -   , -   , -   ,,,,,,,,
33001437,Kalki Contractor,9/15/2012,11/26/1974,Male,Bangalore,13,786,100k to 200k,Bussiness Owner,Personal Loan,6/13/2014,18,16," 119,136.00 ", 12.50 ," (7,292.86)", 15.00 , 9.00 , 6.00 , 1.00 ," 6,618.67 "," (13,911.53)",0,N/A," (7,292.86)", -   , -   , -   , -   ,,,,,,,,
33001452,Samantaka Mogul,12/15/2006,5/20/1972,Female,Bangalore,3,549,60k to 100k,Private Sector Employee,Auto Loan,3/10/2015,30,7," 347,341.00 ", 10.50 ," (13,214.35)", 6.00 , 4.00 , 2.00 , 1.00 ," 11,578.03 "," (24,792.38)",0,N/A," (13,214.35)", -   , -   , -   , -   ,,,,,,,,
33001452,Samantaka Mogul,12/15/2006,5/20/1972,Female,Bangalore,15,595,60k to 100k,Private Sector Employee,Personal Loan,8/26/2013,24,26," 176,871.00 ", 12.50 ," (8,367.29)", 26.00 , 3.00 , 23.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001467,Vritra Chetri,12/7/2009,1/9/1976,Male,Bangalore,1,669,15k to 25k,Small Bussiness Owner,Auto Loan,10/23/2014,24,12," 376,632.00 ", 10.50 ," (17,466.70)", 12.00 , 11.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001467,Vritra Chetri,12/7/2009,1/9/1976,Male,Bangalore,5,707,15k to 25k,Small Bussiness Owner,Personal Loan,8/27/2014,18,14," 178,752.00 ", 12.50 ," (10,942.23)", 14.00 , 3.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001482,Hari Shergill,1/2/2011,1/3/1991,Male,Bangalore,16,562,25k to 40k,Private Sector Employee,Auto Loan,11/14/2013,36,23," 414,822.00 ", 10.50 ," (13,482.73)", 20.00 , 4.00 , 16.00 , 3.00 ," 34,568.50 "," (75,016.69)",0,N/A, -   , -   ," (40,448.19)", -   , -   ,,,,,,,,
33001482,Hari Shergill,1/2/2011,1/3/1991,Male,Bangalore,16,520,25k to 40k,Private Sector Employee,Personal Loan,1/5/2015,30,9," 178,168.00 ", 12.50 ," (6,945.77)", 7.00 , 6.00 , 1.00 , 2.00 ," 11,877.87 "," (25,769.41)",0,N/A, -   ," (13,891.55)", -   , -   , -   ,,,,,,,,
33001497,Vishnu Naidu,9/3/2007,7/30/1980,Male,Bangalore,19,853,100k to 200k,Bussiness Owner,Auto Loan,9/15/2014,30,13," 342,076.00 ", 10.50 ," (13,014.05)", 11.00 , 7.00 , 4.00 , 2.00 ," 22,805.07 "," (48,833.16)",0,N/A, -   ," (26,028.09)", -   , -   , -   ,,,,,,,,
33001497,Vishnu Naidu,9/3/2007,7/30/1980,Male,Bangalore,15,663,100k to 200k,Bussiness Owner,Personal Loan,5/26/2014,18,17," 50,938.00 ", 12.50 ," (3,118.15)", 16.00 , 6.00 , 10.00 , 1.00 ," 2,829.89 "," (5,948.04)",0,N/A," (3,118.15)", -   , -   , -   , -   ,,,,,,,,
33001512,Ekram Chakpram,6/14/2004,2/20/1976,Female,Bangalore,10,624,60k to 100k,Private Sector Employee,Auto Loan,12/5/2012,30,34," 299,665.00 ", 10.50 ," (11,400.55)", 31.00 , 8.00 , 23.00 , 3.00 ," 29,966.50 "," (64,168.15)",0,N/A, -   , -   ," (34,201.65)", -   , -   ,,,,,,,,
33001512,Ekram Chakpram,6/14/2004,2/20/1976,Female,Bangalore,8,531,60k to 100k,Private Sector Employee,Personal Loan,5/10/2015,18,5," 131,288.00 ", 12.50 ," (8,036.74)", 3.00 , -   , 3.00 , 2.00 ," 14,587.56 "," (30,661.03)",0,N/A, -   ," (16,073.48)", -   , -   , -   ,,,,,,,,
33001527,Shaktar Bajaj,12/26/2007,6/20/1967,Male,Bangalore,13,667,25k to 40k,Private Sector Employee,Home Loan,8/9/2013,24,26," 555,721.00 ", 11.50 ," (26,030.15)", 25.00 , 8.00 , 17.00 , 1.00 ," 23,155.04 "," (49,185.19)",0,N/A," (26,030.15)", -   , -   , -   , -   ,,,,,,,,
33001527,Shaktar Bajaj,12/26/2007,6/20/1967,Male,Bangalore,20,788,25k to 40k,Private Sector Employee,Personal Loan,1/31/2013,18,33," 77,067.00 ", 12.50 ," (4,717.62)", 33.00 , 25.00 , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001542,Vasuki Ray,5/1/2002,9/5/1986,Male,Bangalore,20,661,40k to 60k,Public Sector Employee,Auto Loan,1/29/2015,24,9," 322,538.00 ", 10.50 ," (14,958.04)", 7.00 , 6.00 , 1.00 , 2.00 ," 26,878.17 "," (56,794.24)",0,N/A, -   ," (29,916.07)", -   , -   , -   ,,,,,,,,
33001542,Vasuki Ray,5/1/2002,9/5/1986,Male,Bangalore,9,719,40k to 60k,Public Sector Employee,Personal Loan,6/9/2015,30,4," 194,791.00 ", 12.50 ," (7,593.81)", 3.00 , 1.00 , 2.00 , 1.00 ," 6,493.03 "," (14,086.85)",0,N/A," (7,593.81)", -   , -   , -   , -   ,,,,,,,,
33001557,Hari Bajaj,2/7/2009,11/2/1980,Male,Bangalore,12,796,40k to 60k,Public Sector Employee,Home Loan,3/15/2013,24,31," 536,131.00 ", 11.50 ," (25,112.55)", 29.00 , 26.00 , 3.00 , 2.00 ," 44,677.58 "," (94,902.67)",0,N/A, -   ," (50,225.09)", -   , -   , -   ,,,,,,,,
33001557,Hari Bajaj,2/7/2009,11/2/1980,Male,Bangalore,20,507,40k to 60k,Public Sector Employee,Personal Loan,5/3/2013,24,29," 69,494.00 ", 12.50 ," (3,287.57)", 27.00 , 24.00 , 3.00 , 2.00 ," 5,791.17 "," (12,366.31)",0,N/A, -   ," (6,575.15)", -   , -   , -   ,,,,,,,,
33001572,Alagan Basu,12/9/2012,10/29/1974,Female,Bangalore,9,637,40k to 60k,Public Sector Employee,Auto Loan,6/22/2015,18,4," 280,950.00 ", 10.50 ," (16,937.79)", 1.00 , 1.00 , -   , 3.00 ," 46,825.00 "," (97,638.37)",0,N/A, -   , -   ," (50,813.37)", -   , -   ,,,,,,,,
33001572,Alagan Basu,12/9/2012,10/29/1974,Female,Bangalore,1,781,40k to 60k,Public Sector Employee,Personal Loan,7/10/2014,30,15," 111,324.00 ", 12.50 ," (4,339.90)", 13.00 , 11.00 , 2.00 , 2.00 ," 7,421.60 "," (16,101.40)",0,N/A, -   ," (8,679.80)", -   , -   , -   ,,,,,,,,
33001587,Brahman Krishna,12/14/2013,8/16/1984,Male,Bangalore,9,702,40k to 60k,Public Sector Employee,Auto Loan,9/18/2014,30,13," 352,334.00 ", 10.50 ," (13,404.30)", 11.00 , 6.00 , 5.00 , 2.00 ," 23,488.93 "," (50,297.54)",0,N/A, -   ," (26,808.61)", -   , -   , -   ,,,,,,,,
33001587,Brahman Krishna,12/14/2013,8/16/1984,Male,Bangalore,16,768,40k to 60k,Public Sector Employee,Personal Loan,10/11/2013,18,24," 116,563.00 ", 12.50 ," (7,135.35)", 22.00 , 13.00 , 9.00 , 2.00 ," 12,951.44 "," (27,222.15)",0,N/A, -   ," (14,270.71)", -   , -   , -   ,,,,,,,,
33001602,Avatar Contractor,8/27/2007,3/25/1957,Male,Bangalore,4,682,25k to 40k,Private Sector Employee,Home Loan,8/14/2014,18,14," 577,540.00 ", 11.50 ," (35,085.58)", 11.00 , 3.00 , 8.00 , 3.00 ," 96,256.67 "," (201,513.40)",0,N/A, -   , -   ," (105,256.73)", -   , -   ,,,,,,,,
33001602,Avatar Contractor,8/27/2007,3/25/1957,Male,Bangalore,1,622,25k to 40k,Private Sector Employee,Personal Loan,12/17/2013,36,22," 62,162.00 ", 12.50 ," (2,079.54)", 19.00 , 4.00 , 15.00 , 3.00 ," 5,180.17 "," (11,418.80)",0,N/A, -   , -   ," (6,238.63)", -   , -   ,,,,,,,,
33001617,Shaka Ahanthem,5/23/2014,7/14/1980,Male,Bangalore,17,762,15k to 25k,Small Bussiness Owner,Auto Loan,8/2/2014,30,14," 446,427.00 ", 10.50 ," (16,984.01)", 12.00 , 6.00 , 6.00 , 2.00 ," 29,761.80 "," (63,729.82)",0,N/A, -   ," (33,968.02)", -   , -   , -   ,,,,,,,,
33001617,Shaka Ahanthem,5/23/2014,7/14/1980,Male,Bangalore,19,525,15k to 25k,Small Bussiness Owner,Personal Loan,6/14/2015,30,4," 110,290.00 ", 12.50 ," (4,299.59)", 2.00 , -   , 2.00 , 2.00 ," 7,352.67 "," (15,951.85)",0,N/A, -   ," (8,599.18)", -   , -   , -   ,,,,,,,,
33001632,Guffud Babu,7/5/2015,12/26/1961,Female,Bangalore,16,643,60k to 100k,Private Sector Employee,Auto Loan,3/21/2015,18,7," 356,738.00 ", 10.50 ," (21,506.86)", 6.00 , 5.00 , 1.00 , 1.00 ," 19,818.78 "," (41,325.64)",0,N/A," (21,506.86)", -   , -   , -   , -   ,,,,,,,,
33001632,Guffud Babu,7/5/2015,12/26/1961,Female,Bangalore,7,676,60k to 100k,Private Sector Employee,Personal Loan,4/27/2013,36,30," 182,018.00 ", 12.50 ," (6,089.16)", 29.00 , 5.00 , 24.00 , 1.00 ," 5,056.06 "," (11,145.22)",0,N/A," (6,089.16)", -   , -   , -   , -   ,,,,,,,,
33001647,Vasuki Patil,12/27/2013,5/22/1972,Male,Bangalore,17,567,25k to 40k,Private Sector Employee,Home Loan,3/21/2014,24,19," 595,772.00 ", 11.50 ," (27,906.15)", 17.00 , 12.00 , 5.00 , 2.00 ," 49,647.67 "," (105,459.96)",0,N/A, -   ," (55,812.30)", -   , -   , -   ,,,,,,,,
33001647,Vasuki Patil,12/27/2013,5/22/1972,Male,Bangalore,6,817,25k to 40k,Private Sector Employee,Personal Loan,7/9/2014,36,15," 138,107.00 ", 12.50 ," (4,620.18)", 15.00 , 1.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001662,Girisha Krishna,8/10/2012,12/26/1969,Male,Bangalore,4,729,15k to 25k,Small Bussiness Owner,Home Loan,7/19/2013,18,27," 515,836.00 ", 11.50 ," (31,337.06)", 27.00 , 14.00 , 13.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001662,Girisha Krishna,8/10/2012,12/26/1969,Male,Bangalore,10,763,15k to 25k,Small Bussiness Owner,Personal Loan,5/2/2015,30,5," 154,146.00 ", 12.50 ," (6,009.29)", 4.00 , 2.00 , 2.00 , 1.00 ," 5,138.20 "," (11,147.49)",0,N/A," (6,009.29)", -   , -   , -   , -   ,,,,,,,,
33001677,Ishvara Deep,12/29/2012,8/21/1988,Male,Bangalore,10,542,60k to 100k,Private Sector Employee,Auto Loan,5/5/2013,36,29," 440,951.00 ", 10.50 ," (14,331.98)", 27.00 , 14.00 , 13.00 , 2.00 ," 24,497.28 "," (53,161.25)",0,N/A, -   ," (28,663.97)", -   , -   , -   ,,,,,,,,
33001677,Ishvara Deep,12/29/2012,8/21/1988,Male,Bangalore,7,647,60k to 100k,Private Sector Employee,Personal Loan,9/1/2014,24,13," 56,949.00 ", 12.50 ," (2,694.10)", 11.00 , 2.00 , 9.00 , 2.00 ," 4,745.75 "," (10,133.96)",0,N/A, -   ," (5,388.21)", -   , -   , -   ,,,,,,,,
33001692,Sanjiv Biswas,9/5/2013,11/24/1987,Female,Bangalore,2,666,25k to 40k,Private Sector Employee,Home Loan,3/4/2013,30,31," 541,552.00 ", 11.50 ," (20,856.61)", 28.00 , 27.00 , 1.00 , 3.00 ," 54,155.20 "," (116,725.03)",0,N/A, -   , -   ," (62,569.83)", -   , -   ,,,,,,,,
33001692,Sanjiv Biswas,9/5/2013,11/24/1987,Female,Bangalore,3,661,25k to 40k,Private Sector Employee,Personal Loan,5/8/2013,24,29," 114,643.00 ", 12.50 ," (5,423.45)", 27.00 , 14.00 , 13.00 , 2.00 ," 9,553.58 "," (20,400.49)",0,N/A, -   ," (10,846.90)", -   , -   , -   ,,,,,,,,
33001707,Rudra Sharma,4/7/2006,10/14/1975,Male,Bangalore,12,589,25k to 40k,Private Sector Employee,Home Loan,4/22/2013,30,30," 685,982.00 ", 11.50 ," (26,418.99)", 29.00 , 4.00 , 25.00 , 1.00 ," 22,866.07 "," (49,285.06)",0,N/A," (26,418.99)", -   , -   , -   , -   ,,,,,,,,
33001707,Rudra Sharma,4/7/2006,10/14/1975,Male,Bangalore,13,611,25k to 40k,Private Sector Employee,Personal Loan,1/15/2014,18,21," 178,991.00 ", 12.50 ," (10,956.86)", 19.00 , 12.00 , 7.00 , 2.00 ," 19,887.89 "," (41,801.60)",0,N/A, -   ," (21,913.71)", -   , -   , -   ,,,,,,,,
33001722,Sanat Aggarwal,12/4/2014,4/3/1961,Male,Bangalore,15,626,100k to 200k,Bussiness Owner,Home Loan,1/23/2013,36,33," 518,042.00 ", 11.50 ," (17,082.96)", 30.00 , 5.00 , 25.00 , 3.00 ," 43,170.17 "," (94,419.04)",0,N/A, -   , -   ," (51,248.87)", -   , -   ,,,,,,,,
33001722,Sanat Aggarwal,12/4/2014,4/3/1961,Male,Bangalore,12,549,100k to 200k,Bussiness Owner,Personal Loan,2/20/2014,24,20," 184,536.00 ", 12.50 ," (8,729.90)", 18.00 , 18.00 , -   , 2.00 ," 15,378.00 "," (32,837.80)",0,N/A, -   ," (17,459.80)", -   , -   , -   ,,,,,,,,
33001737,Mahakala Shergill,2/15/2006,6/8/1983,Male,Bangalore,0,900,upto 15000,Private Sector Employee,Home Loan,5/15/2013,30,29," 630,963.00 ", 11.50 ," (24,300.07)", 26.00 , 20.00 , 6.00 , 3.00 ," 63,096.30 "," (135,996.50)",0,N/A, -   , -   ," (72,900.20)", -   , -   ,,,,,,,,
33001737,Mahakala Shergill,2/15/2006,6/8/1983,Male,Bangalore,3,785,upto 15000,Private Sector Employee,Personal Loan,4/30/2014,36,18," 131,254.00 ", 12.50 ," (4,390.92)", 17.00 , 1.00 , 16.00 , 1.00 ," 3,645.94 "," (8,036.87)",0,N/A," (4,390.92)", -   , -   , -   , -   ,,,,,,,,
33001752,Amish Menon,11/28/2010,10/7/1986,Female,Bangalore,12,883,60k to 100k,Private Sector Employee,Auto Loan,1/21/2014,36,21," 366,125.00 ", 10.50 ," (11,899.96)", 21.00 , 15.00 , 6.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001752,Amish Menon,11/28/2010,10/7/1986,Female,Bangalore,11,598,60k to 100k,Private Sector Employee,Personal Loan,3/27/2015,24,7," 196,176.00 ", 12.50 ," (9,280.56)", 4.00 , 1.00 , 3.00 , 3.00 ," 24,522.00 "," (52,363.68)",0,N/A, -   , -   ," (27,841.68)", -   , -   ,,,,,,,,
33001767,Garuda Gowda,8/24/2002,9/15/1955,Male,Bangalore,9,617,60k to 100k,Private Sector Employee,Home Loan,12/30/2013,36,22," 587,501.00 ", 11.50 ," (19,373.44)", 19.00 , 9.00 , 10.00 , 3.00 ," 48,958.42 "," (107,078.73)",0,N/A, -   , -   ," (58,120.31)", -   , -   ,,,,,,,,
33001767,Garuda Gowda,8/24/2002,9/15/1955,Male,Bangalore,12,811,60k to 100k,Private Sector Employee,Personal Loan,6/19/2014,18,16," 146,082.00 ", 12.50 ," (8,942.35)", 16.00 , 3.00 , 13.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001782,Bhavata Ahanthem,11/8/2002,11/12/1973,Male,Bangalore,17,627,upto 15000,Private Sector Employee,Auto Loan,7/7/2014,30,15," 386,920.00 ", 10.50 ," (14,720.11)", 14.00 , 7.00 , 7.00 , 1.00 ," 12,897.33 "," (27,617.44)",0,N/A," (14,720.11)", -   , -   , -   , -   ,,,,,,,,
33001782,Bhavata Ahanthem,11/8/2002,11/12/1973,Male,Bangalore,10,797,upto 15000,Private Sector Employee,Personal Loan,7/24/2014,24,15," 178,734.00 ", 12.50 ," (8,455.42)", 13.00 , 7.00 , 6.00 , 2.00 ," 14,894.50 "," (31,805.35)",0,N/A, -   ," (16,910.85)", -   , -   , -   ,,,,,,,,
33001797,Sanjiv Pradhan,2/21/2003,4/28/1983,Male,Bangalore,4,698,upto 15000,Private Sector Employee,Home Loan,10/29/2014,36,12," 694,648.00 ", 11.50 ," (22,906.72)", 12.00 , 7.00 , 5.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001797,Sanjiv Pradhan,2/21/2003,4/28/1983,Male,Bangalore,9,553,upto 15000,Private Sector Employee,Personal Loan,12/1/2014,24,10," 157,064.00 ", 12.50 ," (7,430.28)", 9.00 , -   , 9.00 , 1.00 ," 6,544.33 "," (13,974.61)",0,N/A," (7,430.28)", -   , -   , -   , -   ,,,,,,,,
33001812,Abhimanyu Vaidya,11/18/2009,2/26/1962,Female,Bangalore,15,675,25k to 40k,Private Sector Employee,Home Loan,12/12/2013,24,22," 652,002.00 ", 11.50 ," (30,539.98)", 20.00 , 5.00 , 15.00 , 2.00 ," 54,333.50 "," (115,413.46)",0,N/A, -   ," (61,079.96)", -   , -   , -   ,,,,,,,,
33001812,Abhimanyu Vaidya,11/18/2009,2/26/1962,Female,Bangalore,7,724,25k to 40k,Private Sector Employee,Personal Loan,3/18/2013,18,31," 169,678.00 ", 12.50 ," (10,386.77)", 28.00 , 4.00 , 24.00 , 3.00 ," 28,279.67 "," (59,439.96)",0,N/A, -   , -   ," (31,160.30)", -   , -   ,,,,,,,,
33001827,Anish Ramkissoon,2/16/2001,4/24/1988,Male,Bangalore,0,900,60k to 100k,Private Sector Employee,Auto Loan,8/9/2013,18,26," 250,043.00 ", 10.50 ," (15,074.48)", 26.00 , 11.00 , 15.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001827,Anish Ramkissoon,2/16/2001,4/24/1988,Male,Bangalore,3,854,60k to 100k,Private Sector Employee,Personal Loan,1/1/2015,18,9," 110,310.00 ", 12.50 ," (6,752.58)", 6.00 , 1.00 , 5.00 , 3.00 ," 18,385.00 "," (38,642.74)",0,N/A, -   , -   ," (20,257.74)", -   , -   ,,,,,,,,
33001842,Abhimanyu Jaitley,5/29/2004,9/19/1981,Male,Bangalore,2,619,60k to 100k,Private Sector Employee,Home Loan,12/12/2013,18,22," 524,415.00 ", 11.50 ," (31,858.23)", 21.00 , 7.00 , 14.00 , 1.00 ," 29,134.17 "," (60,992.40)",0,N/A," (31,858.23)", -   , -   , -   , -   ,,,,,,,,
33001842,Abhimanyu Jaitley,5/29/2004,9/19/1981,Male,Bangalore,3,813,60k to 100k,Private Sector Employee,Personal Loan,10/20/2014,24,12," 117,560.00 ", 12.50 ," (5,561.45)", 12.00 , 10.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001857,Vasuki Butala,2/1/2014,9/17/1968,Male,Bangalore,1,769,60k to 100k,Private Sector Employee,Home Loan,11/20/2013,36,23," 553,709.00 ", 11.50 ," (18,259.11)", 23.00 , 6.00 , 17.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001857,Vasuki Butala,2/1/2014,9/17/1968,Male,Bangalore,9,749,60k to 100k,Private Sector Employee,Personal Loan,12/31/2012,24,34," 126,431.00 ", 12.50 ," (5,981.11)", 31.00 , 1.00 , 30.00 , 3.00 ," 15,803.88 "," (33,747.21)",0,N/A, -   , -   ," (17,943.33)", -   , -   ,,,,,,,,
33001872,Nirav Mangal,6/16/2004,2/12/1967,Female,Bangalore,20,744,15k to 25k,Small Bussiness Owner,Auto Loan,9/3/2014,24,13," 293,832.00 ", 10.50 ," (13,626.77)", 12.00 , 2.00 , 10.00 , 1.00 ," 12,243.00 "," (25,869.77)",0,N/A," (13,626.77)", -   , -   , -   , -   ,,,,,,,,
33001872,Nirav Mangal,6/16/2004,2/12/1967,Female,Bangalore,10,793,15k to 25k,Small Bussiness Owner,Personal Loan,6/16/2013,36,28," 73,319.00 ", 12.50 ," (2,452.79)", 25.00 , 5.00 , 20.00 , 3.00 ," 6,109.92 "," (13,468.28)",0,N/A, -   , -   ," (7,358.36)", -   , -   ,,,,,,,,
33001887,Kalki Rampersaud,2/29/2008,11/20/1965,Male,Bangalore,4,641,100k to 200k,Bussiness Owner,Auto Loan,5/26/2014,36,17," 486,608.00 ", 10.50 ," (15,815.95)", 17.00 , 4.00 , 13.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001887,Kalki Rampersaud,2/29/2008,11/20/1965,Male,Bangalore,7,653,100k to 200k,Bussiness Owner,Personal Loan,3/12/2013,36,31," 81,529.00 ", 12.50 ," (2,727.44)", 31.00 , -   , 31.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001902,Kanishka Verma,7/18/2002,8/31/1980,Male,Bangalore,2,864,15k to 25k,Small Bussiness Owner,Auto Loan,6/18/2013,24,28," 397,331.00 ", 10.50 ," (18,426.64)", 28.00 , 28.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
33001902,Kanishka Verma,7/18/2002,8/31/1980,Male,Bangalore,17,841,15k to 25k,Small Bussiness Owner,Personal Loan,6/11/2014,30,16," 186,185.00 ", 12.50 ," (7,258.31)", 13.00 , -   , 13.00 , 3.00 ," 18,618.50 "," (40,393.44)",0,N/A, -   , -   ," (21,774.94)", -   , -   ,,,,,,,,
